연도,총배출량,순배출량,1. 에너지,1. 에너지_A. 연료연소,1. 에너지_A. 연료연소_1. 에너지산업,1. 에너지_A. 연료연소_1. 에너지산업_a. 공공전기 및 열 생산,1. 에너지_A. 연료연소_1. 에너지산업_b. 석유정제,1. 에너지_A. 연료연소_1. 에너지산업_c. 고체연료 제조 및 기타 에너지 산업,1. 에너지_A. 연료연소_2. 제조업 및 건설업,1. 에너지_A. 연료연소_2. 제조업 및 건설업_a. 철강,1. 에너지_A. 연료연소_2. 제조업 및 건설업_b. 비철금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_c. 화학,"1. 에너지_A. 연료연소_2. 제조업 및 건설업_d. 펄프, 제지 및 인쇄",1. 에너지_A. 연료연소_2. 제조업 및 건설업_e. 식음료품 가공 및 담배 제조,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_1. 비금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_2. 조립금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_3. 나무 및 목재,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_4. 건설,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_5. 섬유 및 가죽,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_6. 기타제조,1. 에너지_A. 연료연소_3. 수송,1. 에너지_A. 연료연소_3. 수송_a. 민간항공,1. 에너지_A. 연료연소_3. 수송_b. 도로수송,1. 에너지_A. 연료연소_3. 수송_c. 철도,1. 에너지_A. 연료연소_3. 수송_d. 해운,1. 에너지_A. 연료연소_3. 수송_e. 기타수송,1. 에너지_A. 연료연소_4. 기타,1. 에너지_A. 연료연소_4. 기타_a. 상업/공공,1. 에너지_A. 연료연소_4. 기타_b. 가정,1. 에너지_A. 연료연소_4. 기타_c. 농업/임업/어업,1. 에너지_A. 연료연소_5. 미분류,1. 에너지_B. 탈루,1. 에너지_B. 탈루_1. 고체연료,1. 에너지_B. 탈루_2. 석유 및 천연가스,1. 에너지_B. 탈루_2. 석유 및 천연가스_a. 석유,1. 에너지_B. 탈루_2. 석유 및 천연가스_b. 천연가스,2. 산업공정,2. 산업공정_A. 광물산업,2. 산업공정_A. 광물산업_1. 시멘트생산,2. 산업공정_A. 광물산업_2. 석회생산,2. 산업공정_A. 광물산업_3. 석회석 및 백운석 소비,2. 산업공정_A. 광물산업_4. 소다회 생산 및 소비,2. 산업공정_A. 광물산업_5. 아스팔트 루핑,2. 산업공정_A. 광물산업_6. 아스팔트 도로포장,2. 산업공정_B. 화학산업,2. 산업공정_C. 금속산업,2. 산업공정_C. 금속산업_1. 철강생산,2. 산업공정_C. 금속산업_2. 합금철 생산,2. 산업공정_C. 금속산업_3. 알루미늄 생산,2. 산업공정_C. 금속산업_4. 마그네슘 생산의 SF6 소비,2. 산업공정_D. 기타산업,2. 산업공정_E. 할로카본 및 육불화황 생산,2. 산업공정_E. 할로카본 및 육불화황 생산_1. 부산물 배출,2. 산업공정_E. 할로카본 및 육불화황 생산_2. 탈루 배출,2. 산업공정_F. 할로카본 및 육불화황 소비,2. 산업공정_F. 할로카본 및 육불화황 소비_1. 냉장 및 냉방,2. 산업공정_F. 할로카본 및 육불화황 소비_2. 발포제,2. 산업공정_F. 할로카본 및 육불화황 소비_3. 소화기,2. 산업공정_F. 할로카본 및 육불화황 소비_4. 에어로졸,2. 산업공정_F. 할로카본 및 육불화황 소비_5. 용매,2. 산업공정_F. 할로카본 및 육불화황 소비_6. 기타 용도의 ODS 대체물질 사용,2. 산업공정_F. 할로카본 및 육불화황 소비_7. 반도체 제조,2. 산업공정_F. 할로카본 및 육불화황 소비_8. 중전기기,2. 산업공정_F. 할로카본 및 육불화황 소비_9. 기타(잠재배출량),4. 농업,4. 농업_A. 장내발효,4. 농업_A. 장내발효_1. 소,4. 농업_A. 장내발효_2. 물소,4. 농업_A. 장내발효_3. 양(면양),4. 농업_A. 장내발효_4. 양(산양),4. 농업_A. 장내발효_5. 낙타 및 라마,4. 농업_A. 장내발효_6. 말,4. 농업_A. 장내발효_7. 노새 및 당나귀,4. 농업_A. 장내발효_8. 돼지,4. 농업_A. 장내발효_9. 가금류,4. 농업_A. 장내발효_10. 기타 가축(사슴),4. 농업_B. 가축분뇨처리,4. 농업_B. 가축분뇨처리_1. 소,4. 농업_B. 가축분뇨처리_2. 물소,4. 농업_B. 가축분뇨처리_3. 양(면양),4. 농업_B. 가축분뇨처리_4. 양(산양),4. 농업_B. 가축분뇨처리_5. 낙타 및 라마,4. 농업_B. 가축분뇨처리_6. 말,4. 농업_B. 가축분뇨처리_7. 노새 및 당나귀,4. 농업_B. 가축분뇨처리_8. 돼지,4. 농업_B. 가축분뇨처리_9. 가금류,4. 농업_B. 가축분뇨처리_10. 기타 가축(사슴),4. 농업_C. 벼재배,4. 농업_C. 벼재배_1. 관개,4. 농업_C. 벼재배_2. 천수답,4. 농업_D. 농경지토양,4. 농업_D. 농경지토양_1. 직접배출,"4. 농업_D. 농경지토양_2. 목장, 방목구역, 분료(거름)",4. 농업_D. 농경지토양_3. 간접배출,4. 농업_E. 사바나 소각,4. 농업_F. 작물잔사소각,4. 농업_F. 작물잔사소각_1. 곡류,4. 농업_F. 작물잔사소각_2. 두류(콩),4. 농업_F. 작물잔사소각_3. 근채류,4. 농업_F. 작물잔사소각_4. 사탕수수,4. 농업_F. 작물잔사소각_5. 기타,5. LULUCF,5. LULUCF_A. 산림지,5. LULUCF_A. 산림지_1. 산림지로 유지된 산림지,5. LULUCF_A. 산림지_2. 타토지에서 전용된 산림지,5. LULUCF_A. 산림지_3. 산림지에서 질소 시비로 인한 N2O 배출,5. LULUCF_A. 산림지_4. 산림지에서 배수로 인한 Non-CO2 배출,5. LULUCF_A. 산림지_5. 산림지에서 바이오매스 연소에 의한 배출,5. LULUCF_B. 농경지,5. LULUCF_B. 농경지_1. 농경지로 유지된 농경지,5. LULUCF_B. 농경지_2. 타토지에서 전용된 농경지,5. LULUCF_B. 농경지_3. 농경지로의 전용에 따른 N2O 배출,5. LULUCF_B. 농경지_4. 농경지에서 농업용 석회시용으로 인한 CO2 배출,5. LULUCF_B. 농경지_5. 농경지에서 바이오매스 연소에 의한 배출,5. LULUCF_C. 초지,5. LULUCF_C. 초지_1. 초지로 유지된 초지,5. LULUCF_C. 초지_2. 타토지에서 전용된 초지,5. LULUCF_C. 초지_3. 초지에서 농업용 석회시용으로 인한 CO2 배출,5. LULUCF_C. 초지_4. 초지에서 바이오매스 연소에 의한 배출,5. LULUCF_D. 습지,5. LULUCF_D. 습지_1. 습지로 유지된 습지,5. LULUCF_D. 습지_2. 타토지에서 전용된 습지,5. LULUCF_D. 습지_3. 습지에서 배수로 인한 Non-CO2 배출,5. LULUCF_D. 습지_4. 습지에서 바이오매스 연소에 의한 배출,5. LULUCF_E. 정주지,5. LULUCF_F. 기타토지,6. 폐기물,6. 폐기물_A. 폐기물매립,6. 폐기물_A. 폐기물매립_1. 관리형 매립,6. 폐기물_A. 폐기물매립_2. 비관리형 매립,6. 폐기물_B. 하폐수처리,6. 폐기물_B. 하폐수처리_1. 폐수처리,6. 폐기물_B. 하폐수처리_2. 하수처리,6. 폐기물_C. 폐기물소각,6. 폐기물_D. 기타
2005,560.92334,506.78472,468.87445,465.76473,179.27763,163.18004,13.58386,2.51373,137.11693,56.311,1.28732,30.27489,3.12374,2.91177,43.20821,16.07382,4.03278,0.1707,1.90854,3.92498,17.09739,81.8188,1.03974,76.86201,0.80811,2.77525,0.33369,64.3322,17.46609,38.89156,7.97455,3.21918,3.10972,0.79493,2.31479,0.15391,2.16088,54.56026,29.05586,23.32588,1.04864,4.41145,0.26988,NE,NE,11.59042,0.19418,0.19418,IE,NO,0,NA,0.00006,0.00006,"NO,NE",13.71975,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",4.69713,2.54003,6.48258,20.73873,3.30499,2.94979,NO,0.00011,0.05362,NO,0.00697,NO,0.28019,NE,0.01431,4.02942,1.91837,NO,0.00013,0.2002,NO,0.00761,NO,1.18985,0.65983,0.05343,8.39526,8.3541,0.04115,4.98819,2.68987,NE,2.29832,NO,0.02087,0.00248,0.00416,NO,NO,0.01424,-54.13862,-57.67827,-57.67827,"IE, NE, NO",NE,NO,"NE,NO",3.66232,,3.46944,0.05711,0.13578,"NE,NO",-0.41769,"NE, NO",-0.41769,NO,"NE,NO",0.29502,0.24047,0.05455,"NE,NO","NE,NO",NE,NE,16.7499,8.87599,7.47646,1.39953,1.63509,0.13286,1.50223,6.00098,0.23785
2006,567.30924,512.09092,475.1317,471.91015,187.69806,171.90497,13.73811,2.05497,137.89252,60.29995,1.2954,30.97101,2.80759,2.63677,39.88181,16.19479,3.77025,0.14831,2.6203,3.12888,14.01928,82.63556,0.97522,77.90621,0.73639,2.68043,0.33732,60.84204,17.07184,36.26511,7.50509,2.84197,3.22155,0.79269,2.42886,0.16022,2.26864,54.32032,29.00065,23.13968,1.04401,4.56375,0.25321,NE,NE,10.84095,0.14305,0.14305,IE,NO,0,NA,0.00011,0.00011,"NO,NE",14.33556,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",5.60219,2.84376,5.88962,20.84482,3.46504,3.1012,NO,0.00012,0.05307,NO,0.00781,NO,0.28974,NE,0.01309,4.17465,2.01526,NO,0.00014,0.19813,NO,0.00852,NO,1.23042,0.67329,0.04889,8.24938,8.20894,0.04043,4.93432,2.67264,NE,2.26168,NO,0.02143,0.00239,0.00458,NO,NO,0.01446,-55.21832,-59.19193,-59.19193,"IE, NE, NO",NE,NO,"NE,NO",3.9532,,3.77616,0.05241,0.12463,"NE,NO",-0.28393,"NE, NO",-0.28393,NO,"NE,NO",0.30434,0.25715,0.04719,"NE,NO","NE,NO",NE,NE,17.0124,8.61422,7.28295,1.33127,1.47971,0.08689,1.39282,6.63118,0.28729
2007,580.75192,524.85197,492.77443,489.33539,198.66978,182.73325,13.96335,1.97318,143.1979,61.97317,1.79109,31.67553,2.54343,2.67674,42.53794,15.90543,4.07254,0.18424,2.34487,2.73267,17.29819,85.03252,0.9456,80.48223,0.65992,2.58587,0.35891,59.53722,16.66726,35.63269,7.23727,2.89797,3.43904,0.81009,2.62895,0.171,2.45794,51.14429,32.73885,26.27512,1.03581,5.19092,0.237,NE,NE,1.46368,0.18018,0.18018,IE,NO,0,NA,0.00012,0.00012,"NO,NE",16.76146,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",6.55903,3.08406,7.11837,21.0705,3.6314,3.26346,NO,0.00015,0.04768,NO,0.00862,NO,0.29982,NE,0.01168,4.31509,2.1192,NO,0.00017,0.178,NO,0.0094,NO,1.2732,0.69151,0.0436,8.1443,8.10439,0.03991,4.95881,2.69235,NE,2.26646,NO,0.0209,0.0023,0.00434,NO,NO,0.01427,-55.89995,-60.26149,-60.26149,"IE, NE, NO",NE,NO,"NE,NO",4.26582,,4.09721,0.06018,0.10842,"NE,NO",-0.21712,"NE, NO",-0.21712,NO,"NE,NO",0.31284,0.26269,0.05015,"NE,NO","NE,NO",NE,NE,15.76269,7.97233,6.70599,1.26634,1.54013,0.18655,1.35358,5.9449,0.30533
2008,593.85357,537.05454,506.42454,502.93928,211.74954,194.03014,15.52864,2.19076,148.1151,67.54252,2.01313,31.13062,2.18267,2.3339,42.91225,16.02822,4.58379,0.17919,2.28474,2.51418,17.32213,82.85749,0.98455,78.24666,0.65004,2.62277,0.35347,57.62379,16.10106,35.44267,6.08006,2.59335,3.48526,0.77837,2.70689,0.16856,2.53833,50.73669,32.61211,26.07981,1.88579,4.41043,0.23608,NE,NE,0.76786,0.21899,0.21899,IE,NO,0,NA,0.00012,0.00012,"NO,NE",17.13761,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",6.84275,3.64042,6.65445,21.14599,3.81826,3.47228,NO,0.00021,0.03871,NO,0.00955,NO,0.28748,NE,0.01004,4.35764,2.25331,NO,0.00024,0.14451,NO,0.01042,NO,1.22082,0.69085,0.03749,8.04704,8.00761,0.03943,4.90299,2.66857,NE,2.23443,NO,0.02005,0.00224,0.00389,NO,NO,0.01392,-56.79902,-61.48816,-61.48816,"IE, NE, NO",NE,NO,"NE,NO",4.5355,,4.37759,0.06217,0.09574,"NE,NO",-0.18264,"NE, NO",-0.18264,NO,"NE,NO",0.33628,0.27578,0.0605,"NE,NO","NE,NO",NE,NE,15.54636,7.85697,6.65239,1.20458,1.49254,0.17904,1.3135,5.88231,0.31454
2009,597.98254,541.59937,513.0547,509.77107,230.63499,213.60375,14.62634,2.4049,137.49054,58.81979,2.2753,32.1134,1.9707,2.32582,39.98553,13.99907,3.96393,0.22376,2.29703,2.23626,17.26548,83.72749,1.08345,79.25846,0.57297,2.42594,0.38667,55.04999,15.12442,33.52969,6.39588,2.86805,3.28363,0.70707,2.57656,0.16308,2.41347,47.79532,30.56531,24.55339,2.64834,3.16984,0.19374,NE,NE,0.72811,0.15527,0.15527,IE,NO,0,NA,0.00012,0.00012,"NO,NE",16.34651,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",7.31214,3.39815,5.63622,21.65457,3.99497,3.65165,NO,0.00028,0.0311,NO,0.01028,NO,0.29284,NE,0.00882,4.55264,2.36868,NO,0.00032,0.11611,NO,0.01122,NO,1.24359,0.77979,0.03293,7.98174,7.94264,0.0391,5.10532,2.78495,NE,2.32037,NO,0.01991,0.00239,0.00376,NO,NO,0.01376,-56.38318,-61.29465,-61.29465,"IE, NE, NO",NE,NO,"NE,NO",4.75031,,4.57647,0.06384,0.11,"NE,NO",-0.1668,"NE, NO",-0.1668,NO,"NE,NO",0.32795,0.2665,0.06145,"NE,NO","NE,NO",NE,NE,15.47795,7.93366,6.78782,1.14583,1.49552,0.16297,1.33255,5.71295,0.33582
2010,656.32262,602.47662,566.12019,562.30998,256.1103,240.60063,13.03506,2.47462,162.00024,76.84144,2.34427,34.93596,1.80534,2.39982,43.67342,14.50093,4.47178,0.21361,2.48316,2.30069,19.70325,85.44493,1.13809,81.10205,0.55605,2.2689,0.37984,55.81567,15.13833,34.03302,6.64432,2.93883,3.81021,0.58497,3.22524,0.17,3.05524,52.95089,31.60814,24.29735,3.01736,4.07608,0.21736,NE,NE,0.72302,0.25903,0.17777,IE,NO,0.08126,NA,0.00013,0.00013,"NO,NE",20.36056,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",8.34353,4.17239,7.84464,22.07025,4.26233,3.90735,NO,0.00046,0.02659,NO,0.01096,NO,0.30931,NE,0.00767,4.80302,2.53309,NO,0.00052,0.09926,NO,0.01197,NO,1.31351,0.81605,0.02862,7.83565,7.79727,0.03838,5.15063,2.8195,NE,2.33113,NO,0.01862,0.00241,0.00368,NO,NO,0.01253,-53.846,-58.84338,-58.84338,"IE, NE, NO",NE,NO,"NE,NO",4.83371,,4.68297,0.06498,0.08576,"NE,NO",-0.15229,"NE, NO",-0.15229,NO,"NE,NO",0.31596,0.2587,0.05726,"NE,NO","NE,NO",NE,NE,15.18129,7.75462,6.66466,1.08995,1.62549,0.22831,1.39718,5.64323,0.15796
2011,684.92954,632.32387,595.09252,591.02058,263.75422,247.45916,14.05608,2.23897,183.67953,89.70501,2.60463,39.75104,1.50571,2.15811,47.95502,15.54698,5.20688,0.18123,2.51824,2.03494,22.46674,85.1157,1.20343,80.73266,0.50584,2.26282,0.41094,55.59916,14.6189,34.80716,6.1731,2.87197,4.07194,0.58497,3.48697,0.18035,3.30662,52.88092,33.30735,24.7206,3.36434,4.98403,0.23836,NE,NE,0.83291,0.2681,0.17847,IE,NO,0.08963,NA,0.00012,0.00012,"NO,NE",18.47244,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",7.99692,2.81704,7.65847,21.12057,4.22163,3.93851,NO,0.00046,0.02595,NO,0.01124,NO,0.23877,NE,0.00671,4.52182,2.55189,NO,0.00052,0.09687,NO,0.01227,NO,1.01397,0.82126,0.02504,7.56181,7.52294,0.03887,4.79845,2.62547,NE,2.17298,NO,0.01685,0.00242,0.00364,NO,NO,0.01079,-52.60567,-57.76262,-57.76262,"IE, NE, NO",NE,NO,"NE,NO",4.93693,,4.73763,0.06055,0.13875,"NE,NO",-0.11339,"NE, NO",-0.11339,NO,"NE,NO",0.33341,0.27454,0.05887,"NE,NO","NE,NO",NE,NE,15.83554,7.60984,6.57304,1.03679,1.83289,0.4291,1.40379,6.20089,0.19193
2012,688.30806,641.31068,596.47149,592.09042,267.76975,250.8432,14.65807,2.26848,179.60839,89.28986,2.36095,40.12438,1.18349,2.08195,44.56775,13.93233,5.24293,0.16278,2.21506,1.56526,21.44939,86.48095,1.20902,82.21727,0.50809,2.14544,0.40113,55.31146,15.90297,33.28291,6.12558,2.91987,4.38107,0.58778,3.79329,0.18431,3.60899,54.42019,33.58766,24.8486,3.41553,5.12208,0.20145,NE,NE,0.9837,0.32716,0.18137,IE,NO,0.14579,NA,0.00008,0.00008,"NO,NE",19.52159,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",8.18279,2.95822,8.38058,21.47018,4.38997,4.04585,NO,0.00045,0.02621,NO,0.01136,NO,0.30033,NE,0.00577,4.67555,2.61546,NO,0.00051,0.09784,NO,0.0124,NO,1.17579,0.75202,0.02154,7.27618,7.23385,0.04233,5.11256,2.80927,NE,2.3033,NO,0.01591,0.00227,0.00347,NO,NO,0.01017,-46.99737,-51.55484,-51.55484,"IE, NE, NO",NE,NO,"NE,NO",4.36737,,4.18834,0.05382,0.12522,"NE,NO",-0.12218,"NE, NO",-0.12218,NO,"NE,NO",0.31228,0.25966,0.05262,"NE,NO","NE,NO",NE,NE,15.9462,7.25026,6.26403,0.98623,1.65725,0.27568,1.38157,6.84429,0.1944
2013,697.38369,654.84871,605.01389,600.51957,274.17445,257.33773,14.59228,2.24443,181.32789,89.87433,2.5178,42.61584,1.07142,1.87391,43.37459,13.70479,5.20941,0.18528,2.15189,1.03214,21.09109,88.40524,1.30728,84.81765,0.44844,1.40879,0.42309,53.63818,15.16741,32.1886,6.28217,2.9738,4.49432,0.50946,3.98486,0.17738,3.80748,54.81952,33.84226,25.05014,3.29029,5.29733,0.2045,NE,NE,0.93386,0.38678,0.17765,IE,NO,0.20913,NA,0.00003,0.00003,"NO,NE",19.65658,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",8.8263,3.0637,7.76659,21.34772,4.36318,4.00246,NO,0.0003,0.02618,NO,0.01123,NO,0.31805,NE,0.00496,4.73928,2.63778,NO,0.00034,0.09774,NO,0.01225,NO,1.20078,0.77186,0.01852,7.01527,6.97414,0.04114,5.21391,2.87175,NE,2.34217,NO,0.01608,0.00196,0.00394,NO,NO,0.01018,-42.53498,-47.05253,-47.05253,"IE, NE, NO",NE,NO,"NE,NO",4.3154,,4.1557,0.04746,0.11224,"NE,NO",-0.11637,"NE, NO",-0.11637,NO,"NE,NO",0.31853,0.26563,0.0529,"NE,NO","NE,NO",NE,NE,16.20256,7.18432,6.24619,0.93813,1.73704,0.37579,1.36125,6.98627,0.29493
2014,691.93256,648.65044,597.37347,593.26005,259.52859,242.7735,14.88921,1.86588,193.1101,104.61011,2.4163,42.60234,0.77229,1.84223,40.86682,14.03032,5.24107,0.19127,2.30236,1.0342,18.06761,88.71697,1.41315,85.44684,0.37525,1.00964,0.4721,49.0501,14.32466,29.91356,4.81187,2.8543,4.11341,0.49066,3.62276,0.17969,3.44306,57.53924,35.08425,25.41199,3.33615,6.11566,0.22046,NE,NE,0.8871,0.43522,0.17101,IE,NO,0.26421,NA,0,0,"NO,NE",21.13267,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",9.74365,3.25469,8.13433,21.37443,4.49265,4.1404,NO,0.00027,0.02628,NO,0.01069,NO,0.31054,NE,0.00447,4.70676,2.69963,NO,0.00031,0.09811,NO,0.01167,NO,1.14644,0.73393,0.01668,6.89302,6.85593,0.03709,5.26565,2.90217,NE,2.36348,NO,0.01635,0.00178,0.00409,NO,NO,0.01048,-43.28212,-47.8608,-47.8608,"IE, NE, NO",NE,NO,"NE,NO",4.34896,,4.18826,0.03544,0.12525,"NE,NO",-0.10294,"NE, NO",-0.10294,NO,"NE,NO",0.33266,0.27818,0.05448,"NE,NO","NE,NO",NE,NE,15.64543,7.33535,6.44297,0.89238,1.67231,0.32244,1.34987,6.34044,0.29734
2015,692.51457,648.15341,600.69645,596.90273,261.78706,243.39316,16.57328,1.82062,187.61126,101.15727,2.69025,37.89879,0.5668,1.80769,43.49046,13.56207,4.62812,0.14162,2.55055,1.02284,21.58527,94.19176,1.45629,90.12432,0.34181,1.63974,0.6296,50.22099,15.49346,30.50121,4.22632,3.09166,3.79373,0.49515,3.29858,0.19878,3.0998,54.28128,35.58097,25.77871,3.46602,6.10827,0.22797,NE,NE,0.81465,0.22377,0.13778,IE,NO,0.08599,NA,0,0,"NO,NE",17.66189,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",7.2855,2.64658,7.7298,20.98396,4.33945,3.97989,NO,0.00028,0.02722,NO,0.00908,NO,0.31901,NE,0.00398,4.59184,2.50963,NO,0.00032,0.10162,NO,0.00991,NO,1.16577,0.78975,0.01486,6.79294,6.76182,0.03112,5.24374,2.89034,NE,2.35341,NO,0.01598,0.00174,0.00394,NO,NO,0.01031,-44.36116,-48.5046,-48.5046,"IE, NE, NO",NE,NO,"NE,NO",3.8449,,3.7046,0.02494,0.11535,"NE,NO",-0.07776,"NE, NO",-0.07776,NO,"NE,NO",0.3763,0.31371,0.06259,"NE,NO","NE,NO",NE,NE,16.55288,7.72736,6.87851,0.84886,1.62718,0.25885,1.36833,6.87406,0.32427
2016,693.53482,647.97518,602.6609,598.7267,263.65708,244.03522,17.91602,1.70584,181.42779,93.36011,2.67408,39.16726,0.6463,1.84996,43.73007,13.51563,4.60026,0.07513,2.62657,0.92593,21.98656,98.77479,1.65614,94.62848,0.29903,1.40687,0.78427,51.80037,15.45553,32.33725,4.0076,3.06667,3.9342,0.48448,3.44971,0.20928,3.24043,53.23214,36.49303,26.67176,3.48384,6.09792,0.23951,NE,NE,0.90946,0.27012,0.15081,IE,NO,0.11931,NA,0,0,"NO,NE",15.55953,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",4.94709,3.43828,7.17416,20.80952,4.31811,3.94603,NO,0.00024,0.03093,NO,0.00887,NO,0.32843,NE,0.00362,4.50355,2.4037,NO,0.00027,0.11547,NO,0.00968,NO,1.18788,0.77305,0.0135,6.72656,6.69537,0.03118,5.24617,2.89101,NE,2.35516,NO,0.01513,0.00201,0.00322,NO,NO,0.00991,-45.55964,-49.61441,-49.61441,"IE, NE, NO",NE,NO,"NE,NO",3.7488,,3.59637,0.03777,0.11466,"NE,NO",-0.05458,"NE, NO",-0.05458,NO,"NE,NO",0.36055,0.29537,0.06517,"NE,NO","NE,NO",NE,NE,16.83226,7.59823,6.79078,0.80746,1.72361,0.3567,1.36691,7.14648,0.36394
2017,709.74997,668.26196,615.6583,611.64189,270.98626,252.60347,15.8476,2.53519,186.54517,99.44487,2.63122,40.62658,0.64538,1.8324,41.36473,11.97546,4.46016,0.07451,2.21186,0.87288,21.76984,98.33929,1.65678,94.27144,0.28913,1.33874,0.78319,52.58235,15.40462,33.46279,3.71494,3.1888,4.01641,0.41683,3.59958,0.21722,3.38236,55.92901,36.52148,26.35058,3.45497,6.48561,0.23032,NE,NE,0.94519,0.26957,0.15891,IE,NO,0.11066,NA,0,0,"NO,NE",18.19278,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",6.23621,2.61941,9.33716,20.95819,4.40016,3.99751,NO,0.00026,0.03592,NO,0.00912,NO,0.35404,NE,0.00332,4.66229,2.43063,NO,0.00029,0.1341,NO,0.00995,NO,1.37489,0.70001,0.0124,6.54978,6.51847,0.03131,5.33138,2.93975,NE,2.39162,NO,0.01459,0.00211,0.00272,NO,NO,0.00975,-41.48801,-45.64605,-45.64605,"IE, NE, NO",NE,NO,"NE,NO",3.85634,,3.70096,0.03603,0.11935,"NE,NO",-0.03052,"NE, NO",-0.03052,NO,"NE,NO",0.33221,0.28149,0.05073,"NE,NO","NE,NO",NE,NE,17.20447,7.87452,7.10644,0.76808,1.79264,0.46199,1.33065,7.17812,0.35919
2018,727.6333,686.34819,632.37609,627.90914,287.6141,269.57099,15.85829,2.18482,186.5961,95.28762,2.97901,45.95281,0.66219,1.95508,39.75939,11.06549,4.97481,0.12281,2.17047,0.70604,20.71977,98.11138,1.6061,94.71141,0.28777,1.01893,0.48717,52.47245,15.10564,33.83258,3.53423,3.11511,4.46696,0.33684,4.13012,0.21587,3.91425,56.97429,35.00512,24.70206,3.66446,6.4096,0.22899,NE,NE,0.95543,0.24859,0.15884,IE,NO,0.08974,NA,0,0,"NO,NE",20.76515,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",7.13096,4.81174,8.82245,21.19051,4.47099,4.05445,NO,0.00024,0.04497,NO,0.0105,NO,0.35779,NE,0.00305,4.93612,2.51603,NO,0.00027,0.1679,NO,0.01146,NO,1.39978,0.8293,0.01137,6.29682,6.26688,0.02994,5.47173,3.01792,NE,2.45381,NO,0.01485,0.00212,0.00277,NO,NO,0.00996,-41.28511,-45.59565,-45.59565,"IE, NE, NO",NE,NO,"NE,NO",4.00775,,3.87136,0.03204,0.10435,"NE,NO",-0.01655,"NE, NO",-0.01655,NO,"NE,NO",0.31934,0.28374,0.0356,"NE,NO","NE,NO",NE,NE,17.0924,7.83359,7.10297,0.73062,1.74139,0.41715,1.32424,7.0983,0.41912
