,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
190,B964D75F7332477197B6D04FB8E3036D94D50CA1,2015,제주,5인 ~ 9인,경유,경유,16101,일반 제재업,-
191,6CF0BD078A5BA5BB11206B9E7A704FAC7346A9E0,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
192,3AA3EF18C39E8A10BC00C9126783661E1B816145,2015,제주,5인 ~ 9인,등유(구:실내등유),등유(구:실내등유),10711,떡류 제조업,-
193,F58FE7098D6F43885B75E28FDAB28E309DDB2F48,2015,제주,5인 ~ 9인,전력,전력,18111,경 인쇄업,-
194,DA09C5A32EBD7F89C7AF03AB4CF8EF1AE887B897,2015,제주,10인 ~ 19인,등유(구:실내등유),등유(구:실내등유),20433,화장품 제조업,-
195,0C299BB5A82161D9630FAFCE66FC8745B38549E3,2015,제주,10인 ~ 19인,전력,전력,10212,수산동물 건조 및 염장품 제조업,-
196,502E24FC53EDF5291629862F220EA2112C68142F,2015,제주,10인 ~ 19인,전력,전력,29174,기체 여과기 제조업,-
197,13C4A40943DF219FA64B9E52B1C4721910A4027F,2015,제주,5인 ~ 9인,등유(구:실내등유),등유(구:실내등유),32029,기타 목재가구 제조업,-
198,6AB8D321C4AE72768C3CC2E85806C1D785A0C295,2015,제주,10인 ~ 19인,전력,전력,10611,곡물 도정업,-
199,0D74020A5118C318565397B9A2B298115EE4D409,2015,제주,5인 미만,전력,전력,31113,비철금속 선박 및 기타 항해용 선박 건조업,-
200,DE5865F0E542A66A06D5ABE173588FF44B214136,2015,제주,20인 ~ 49인,전력,전력,11122,소주 제조업,-
201,9F42235609E77ED67A971371894849911E41CAE0,2015,제주,5인 미만,경유,경유,10129,기타 육류 가공 및 저장처리업,-
202,DE73917F8725DD4BEC8317720DC4C7C6164F631C,2015,제주,5인 미만,도시가스(LPG),도시가스(LPG),27216,산업처리공정 제어장비 제조업,-
203,FCF6018B5BD9B7F2F066EBC4584A28BB9D14F171,2015,제주,10인 ~ 19인,경유,경유,23911,건설용 석제품 제조업,-
204,6E7A843E2FDF6F925AD34B561CED872AFD13F307,2015,제주,5인 ~ 9인,경유,경유,07122,건설용 쇄석 생산업,-
205,2E4771244FFEDF9A5314A3AEEB51098B38FDB2AD,2015,제주,5인 ~ 9인,전력,전력,10213,수산동물 냉동품 제조업,-
206,51FBB048882A9867F530A71EA44BD53669CF93DA,2015,제주,20인 ~ 49인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
207,E28ABE6AB7DE0382102AE8F87CE7BB18C03488E7,2015,제주,20인 ~ 49인,등유(구:실내등유),등유(구:실내등유),10792,차류 가공업,-
208,AD392B8DF8F8CDFB199611DC69DC3EED645D2571,2015,제주,20인 ~ 49인,프로판,프로판,10309,기타 과실·채소 가공 및 저장처리업,-
